PID,trial,response,rt,accuracy,display,filename,target_size,colour,quadrant,num_distractors,answer,distractor_bin
31,26.0,1,1024.8999999999942,1,Task,image_103.jpg,large,red,Quadrant 1,8.0,1.0,5–8
31,27.0,2,813.6999999046384,1,Task,image_64.jpg,medium,blue,Quadrant 2,20.0,2.0,17–20
31,28.0,2,702.499999809268,1,Task,image_101.jpg,large,green,Quadrant 2,5.0,2.0,5–8
31,29.0,4,1963.2999997138977,1,Task,image_36.jpg,small,green,Quadrant 4,40.0,4.0,37-40
31,30.0,3,790.1999997138919,1,Task,image_67.jpg,medium,green,Quadrant 3,19.0,3.0,17–20
31,31.0,2,1012.8000000000028,1,Task,image_74.jpg,medium,green,Quadrant 2,28.0,2.0,25-28
31,32.0,4,1027.0999996185274,1,Task,image_65.jpg,medium,red,Quadrant 4,17.0,4.0,17–20
31,33.0,4,723.7999996185245,1,Task,image_62.jpg,medium,blue,Quadrant 4,15.0,4.0,13–16
31,34.0,2,675.2999999999884,1,Task,image_134.jpg,large,green,Quadrant 2,37.0,2.0,37-40
31,35.0,3,741.0999998092593,1,Task,image_135.jpg,large,red,Quadrant 3,38.0,3.0,37-40
