PID,trial,response,rt,accuracy,display,filename,gradient_type,inversion_type,light_direction,quadrant,num_distractors,answer,distractor_bin
85,41.0,1,1911.3800000000049,1,Task,image_71.jpg,horizontal,original,left,Quadrant 1,8.0,1.0,5–8
85,42.0,3,2295.7600000000093,0,Task,image_68.jpg,horizontal,original,left,Quadrant 2,6.0,2.0,5–8
85,43.0,3,1884.179999999993,1,Task,image_52.jpg,vertical,inverted,bottom,Quadrant 3,23.0,3.0,21–24
85,44.0,1,2917.220000000001,0,Task,image_73.jpg,horizontal,original,left,Quadrant 4,10.0,4.0,9–12
85,45.0,1,1894.940000000032,1,Task,image_42.jpg,vertical,inverted,bottom,Quadrant 1,11.0,1.0,9–12
85,46.0,4,1943.959999999992,1,Task,image_6.jpg,vertical,original,top,Quadrant 4,7.0,4.0,5–8
85,47.0,3,2372.320000000007,1,Task,image_93.jpg,horizontal,original,left,Quadrant 3,35.0,3.0,33-49
85,48.0,1,2527.920000000013,0,Task,image_81.jpg,horizontal,original,left,Quadrant 2,20.0,2.0,17–20
85,49.0,2,1886.7600000000093,1,Task,image_33.jpg,vertical,inverted,bottom,Quadrant 2,1.0,2.0,1–4
85,50.0,4,2230.7999999999884,1,Task,image_98.jpg,horizontal,inverted,right,Quadrant 4,3.0,4.0,1–4
85,51.0,2,2533.959999999992,1,Task,image_87.jpg,horizontal,original,left,Quadrant 2,21.0,2.0,21–24
85,52.0,2,1877.7399999999907,1,Task,image_8.jpg,vertical,original,top,Quadrant 2,12.0,2.0,9–12
85,53.0,1,1948.8399999999965,1,Task,image_67.jpg,horizontal,original,left,Quadrant 1,4.0,1.0,1–4
85,54.0,1,1763.1199999999951,1,Task,image_39.jpg,vertical,inverted,bottom,Quadrant 1,8.0,1.0,5–8
85,55.0,4,1246.5199999999895,1,Task,image_34.jpg,vertical,inverted,bottom,Quadrant 4,3.0,4.0,1–4
85,56.0,3,2443.700000000012,1,Task,image_29.jpg,vertical,original,top,Quadrant 3,35.0,3.0,33-49
85,57.0,1,2055.4800000000105,1,Task,image_78.jpg,horizontal,original,left,Quadrant 1,14.0,1.0,13–16
85,58.0,4,2205.619999999996,0,Task,image_72.jpg,horizontal,original,left,Quadrant 2,12.0,2.0,9–12
85,59.0,3,2069.0599999999977,1,Task,image_12.jpg,vertical,original,top,Quadrant 3,15.0,3.0,13–16
85,60.0,4,1952.0599999999977,0,Task,image_56.jpg,vertical,inverted,bottom,Quadrant 2,27.0,2.0,25-32
85,61.0,2,2317.919999999984,1,Task,image_120.jpg,horizontal,inverted,right,Quadrant 2,27.0,2.0,25-32
85,62.0,1,2384.5599999999977,1,Task,image_127.jpg,horizontal,inverted,right,Quadrant 1,34.0,1.0,33-49
85,63.0,1,1360.040000000008,1,Task,image_22.jpg,vertical,original,top,Quadrant 1,24.0,1.0,21–24
85,64.0,1,1466.9200000000128,1,Task,image_86.jpg,horizontal,original,left,Quadrant 1,24.0,1.0,21–24
85,65.0,3,2046.640000000014,1,Task,image_107.jpg,horizontal,inverted,right,Quadrant 3,9.0,3.0,9–12
85,66.0,3,2004.8399999999965,1,Task,image_58.jpg,vertical,inverted,bottom,Quadrant 3,31.0,3.0,25-32
85,67.0,1,1076.5200000000186,1,Task,image_7.jpg,vertical,original,top,Quadrant 1,8.0,1.0,5–8
85,68.0,2,1219.5800000000163,1,Task,image_36.jpg,vertical,inverted,bottom,Quadrant 2,6.0,2.0,5–8
85,69.0,3,1617.0999999999767,1,Task,image_5.jpg,vertical,original,top,Quadrant 3,5.0,3.0,5–8
85,70.0,1,1444.1199999999951,1,Task,image_51.jpg,vertical,inverted,bottom,Quadrant 1,18.0,1.0,17–20
85,71.0,3,1640.1199999999951,1,Task,image_32.jpg,vertical,inverted,bottom,Quadrant 3,2.0,3.0,1–4
85,72.0,2,2299.719999999972,0,Task,image_19.jpg,vertical,original,top,Quadrant 1,18.0,1.0,17–20
85,73.0,3,1544.280000000028,1,Task,image_50.jpg,vertical,inverted,bottom,Quadrant 3,17.0,3.0,17–20
85,74.0,3,1077.1199999999951,1,Task,image_37.jpg,vertical,inverted,bottom,Quadrant 3,5.0,3.0,5–8
85,75.0,4,1349.2000000000116,1,Task,image_47.jpg,vertical,inverted,bottom,Quadrant 4,13.0,4.0,13–16
